group,name,url,type,notes,geo_blocked,working,vpn_suggestion
argentina,32.3,https://video-weaver.ord56.hls.ttvnw.net/v1/playlist/Cq4FFLOPxq44Qy0kxjcr_wXuRRwjKU6gJ80Tc5eWRkaz5XdeNfeq7DzoNAstinu7BLtnw7jYDANX5yCDozdlS55_kYfuDyqQhwF0JpzU75lDUv5NOuUVWBwlP0m1Bh1JMn21v_OvA_teSCI7hcIFl2DoINrr8bHnpSS8EUvXNesfdX_LcfQH-clqftQ0sCreLIbTvxI5MyL6Wnm8jGh2yg48A2c_k9YHDH6TpM3tLo-pbRrrfByqMq-IoMQREf5DV_sTfHtAzinQQU3Np309s2ScJwcBlAjzz4VJ7svuJ1UbWBBylenSTnrXQW5Vws7OqG2kcoAHHpAQN6BQCpxaXO6dE7MLg7Nq6E7961fHEVSqFCRQg2Y5orbSsEwMo7_S4s5POZSQX1tn04QDuHfLixx-aBcbctSSFmI1CNZ3YDCEZVvWHOU6SyKQcsZeJCFLA1DsxqY3DeAn6n7xpPS4pdsizKqlqsT66liv_L-48h7jGujNZPDHge0fcgUs_7b7jlKJlKv-S_s1mGgLqPEUEQ8dhn5AugB0kfjAGgcTHIP_qLPRY0M7OikuBaMxh1pUpPkVG9AX4jCg1cwCgcfa64OP9ed4pwMjoiKm0dIfytTQ8hWjwXtkv16nJDfZ3kkqaMnM8ErZG6tRw-JVy3nRooKubY7Re0Fc1RHB85_eX2NYQD88N7r-UgaiO2ax0FQ-E_IdfuwSmp5oDy6Di6pT7r_zDRN3znbV64s4i-INUg-D2Leeq4xqYhe_Zhj-3AoxXDWCB0-DCc1kFEComkNpY01YA19zEm01TKLCbdaJwdC6bQpSEoJkOCoPAMnxm7oPNlqZRbhM4TVCJ34f4Y1guzaDomcEABl4Cii2UF-OhskRUZF-SUWjWdO6z62UqZagzG2QOTr6VBH-ItT_16fLsRUaDGTVKzgYHT8XcSqTkyABKgl1cy1lYXN0LTEwjQY.m3u8,hls,"[>](https://video-weaver.ord56.hls.ttvnw.net/v1/playlist/Cq4FFLOPxq44Qy0kxjcr_wXuRRwjKU6gJ80Tc5eWRkaz5XdeNfeq7DzoNAstinu7BLtnw7jYDANX5yCDozdlS55_kYfuDyqQhwF0JpzU75lDUv5NOuUVWBwlP0m1Bh1JMn21v_OvA_teSCI7hcIFl2DoINrr8bHnpSS8EUvXNesfdX_LcfQH-clqftQ0sCreLIbTvxI5MyL6Wnm8jGh2yg48A2c_k9YHDH6TpM3tLo-pbRrrfByqMq-IoMQREf5DV_sTfHtAzinQQU3Np309s2ScJwcBlAjzz4VJ7svuJ1UbWBBylenSTnrXQW5Vws7OqG2kcoAHHpAQN6BQCpxaXO6dE7MLg7Nq6E7961fHEVSqFCRQg2Y5orbSsEwMo7_S4s5POZSQX1tn04QDuHfLixx-aBcbctSSFmI1CNZ3YDCEZVvWHOU6SyKQcsZeJCFLA1DsxqY3DeAn6n7xpPS4pdsizKqlqsT66liv_L-48h7jGujNZPDHge0fcgUs_7b7jlKJlKv-S_s1mGgLqPEUEQ8dhn5AugB0kfjAGgcTHIP_qLPRY0M7OikuBaMxh1pUpPkVG9AX4jCg1cwCgcfa64OP9ed4pwMjoiKm0dIfytTQ8hWjwXtkv16nJDfZ3kkqaMnM8ErZG6tRw-JVy3nRooKubY7Re0Fc1RHB85_eX2NYQD88N7r-UgaiO2ax0FQ-E_IdfuwSmp5oDy6Di6pT7r_zDRN3znbV64s4i-INUg-D2Leeq4xqYhe_Zhj-3AoxXDWCB0-DCc1kFEComkNpY01YA19zEm01TKLCbdaJwdC6bQpSEoJkOCoPAMnxm7oPNlqZRbhM4TVCJ34f4Y1guzaDomcEABl4Cii2UF-OhskRUZF-SUWjWdO6z62UqZagzG2QOTr6VBH-ItT_16fLsRUaDGTVKzgYHT8XcSqTkyABKgl1cy1lYXN0LTEwjQY.m3u8) <img height=""20"" src=""http://directostv.teleame.com/wp-content/uploads/2020/10/Comarca-TV-en-vivo-Online.png"" /> ComarcaTV.ar",False,False,
argentina,33.1,https://live-01-02-eltrece.vodgc.net/eltrecetv/index.m3u8,hls,"[>](https://live-01-02-eltrece.vodgc.net/eltrecetv/index.m3u8) <img height=""20"" src=""https://i.imgur.com/ZK7AQFg.png""/> ElTrece.ar",False,False,
argentina,35.1,https://octubre-live.cdn.vustreams.com/live/channel09/live.isml/live.m3u8,hls,"[>](https://octubre-live.cdn.vustreams.com/live/channel09/live.isml/live.m3u8) <img height=""20"" src=""https://i.imgur.com/EtcVSm4.png""/> ElNueve.ar",False,False,
argentina,34.1,https://telefe.com/Api/Videos/GetSourceUrl/694564/0/HLS?.m3u8,hls,"[>](https://telefe.com/Api/Videos/GetSourceUrl/694564/0/HLS?.m3u8) <img height=""20"" src=""https://i.imgur.com/wrZfMXn.png""/> Telefe.ar",False,False,
argentina,36.1,https://www.youtube.com/c/americaenvivo/live,youtube,"[>](https://www.youtube.com/c/americaenvivo/live) <img height=""20"" src=""https://i.imgur.com/Jt7dOQm.png""/> AmericaTV.ar",False,True,
argentina,36.2,https://www.youtube.com/c/A24com/live,youtube,"[>](https://www.youtube.com/c/A24com/live) <img height=""20"" src=""https://i.imgur.com/OdhF7ym.png""/> A24.ar",False,True,
australia,1,https://c.mjh.nz/101002210221/,other,"[>](https://c.mjh.nz/101002210221/) <img height=""20"" src=""https://i.imgur.com/5CVl5EF.png""/> ABCTV.au",False,False,
australia,5,https://tvsn-i.akamaihd.net/hls/live/261837/tvsn/tvsn_750.m3u8,hls,"[>](https://tvsn-i.akamaihd.net/hls/live/261837/tvsn/tvsn_750.m3u8) <img height=""20"" src=""https://i.imgur.com/p3QCBOo.png""/> TVSN.au",False,False,
australia,4,https://c.mjh.nz/101002210224/,other,"[>](https://c.mjh.nz/101002210224/) <img height=""20"" src=""https://i.imgur.com/gBh54wY.png""/> ABCMe.au",False,False,
australia,5,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8,hls,"[>](https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/en/thumb/d/df/ABC_News_Channel.svg/640px-ABC_News_Channel.svg.png""/> ABCNews.au",False,False,
australia,8,https://5a32c05065c79.streamlock.net/live/stream/playlist.m3u8,hls,"[>](https://5a32c05065c79.streamlock.net/live/stream/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/HZohlNk.png""/> M4TV.au",False,False,
australia,5,https://racingvic-i.akamaized.net/hls/live/598695/racingvic/1500.m3u8,hls,"[>](https://racingvic-i.akamaized.net/hls/live/598695/racingvic/1500.m3u8) <img height=""20"" src=""https://i.imgur.com/pma0OCf.png""/> Racingcom.au",False,False,
australia,5,https://9now-livestreams.akamaized.net/hls/live/2008312/go-syd/master.m3u8,hls,"[>](https://9now-livestreams.akamaized.net/hls/live/2008312/go-syd/master.m3u8) <img height=""20"" src=""https://i.imgur.com/1CFGu5O.png""/> 9Go.au",False,False,
australia,5,https://9now-livestreams.akamaized.net/hls/live/2008313/life-syd/master.m3u8,hls,"[>](https://9now-livestreams.akamaized.net/hls/live/2008313/life-syd/master.m3u8) <img height=""20"" src=""https://i.imgur.com/ZCUiqlL.png""/> 9Life.au",False,False,
australia,5,https://9now-livestreams.akamaized.net/hls/live/2010626/rush-syd/master.m3u8,hls,"[>](https://9now-livestreams.akamaized.net/hls/live/2010626/rush-syd/master.m3u8) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/en/c/c2/Logo_of_9RUSH.png""/> 9Rush.au",False,False,
austria,1,https://orf1.mdn.ors.at/out/u/orf1/q8c/manifest.m3u8,hls,"[>](https://orf1.mdn.ors.at/out/u/orf1/q8c/manifest.m3u8) <img height=""20"" src=""https://i.imgur.com/ft2LuRl.jpg""/> ORF1.at",False,False,
austria,2,https://orf2.mdn.ors.at/out/u/orf2/q8c/manifest.m3u8,hls,"[>](https://orf2.mdn.ors.at/out/u/orf2/q8c/manifest.m3u8) <img height=""20"" src=""https://i.imgur.com/yPVDaXv.png""/> ORF2.at",False,False,
austria,3,https://orf3.mdn.ors.at/out/u/orf3/q8c/manifest.m3u8,hls,"[>](https://orf3.mdn.ors.at/out/u/orf3/q8c/manifest.m3u8) <img height=""20"" src=""https://i.imgur.com/6BuiUE7.png""/> ORFIII.at",False,False,
austria,4,https://orfs.mdn.ors.at/out/u/orfs/q8c/manifest.m3u8,hls,"[>](https://orfs.mdn.ors.at/out/u/orfs/q8c/manifest.m3u8) <img height=""20"" src=""https://i.imgur.com/MVNZ4gf.png""/> ORFSportPlus.at",False,False,
austria,5,https://rbmn-live.akamaized.net/hls/live/2002825/geoSTVATweb/master.m3u8,hls,"[>](https://rbmn-live.akamaized.net/hls/live/2002825/geoSTVATweb/master.m3u8) <img height=""20"" src=""https://i.imgur.com/zDWhSxq.png""/> ServusTVOsterreich.at",False,False,
austria,6,https://varoe24live.sf.apa.at/oe24-live1/oe24.smil/chunklist_b1900000.m3u8,hls,"[>](https://varoe24live.sf.apa.at/oe24-live1/oe24.smil/chunklist_b1900000.m3u8) <img height=""20"" src=""https://i.imgur.com/8UTkcPn.png""/> Oe24TV.at",False,False,
austria,7,https://ms01.w24.at/W24/smil:liveevent.smil/playlist.m3u8,hls,"[>](https://ms01.w24.at/W24/smil:liveevent.smil/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/PGb4wYw.png""/> W24.at",False,True,
austria,8,http://p3-6.mov.at:1935/live/weekstream/playlist.m3u8,hls,"[>](http://p3-6.mov.at:1935/live/weekstream/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/1sPhZ57.png""/> P3tv.at",False,False,
austria,9,http://iptv.rtv-ooe.at/stream.m3u8,hls,"[>](http://iptv.rtv-ooe.at/stream.m3u8) <img height=""20"" src=""https://i.imgur.com/oD7GQxT.png""/> RTV.at",False,True,
austria,10,https://58b42f6c8c9bf.streamlock.net:8080/live/RTS2015/playlist.m3u8,hls,"[>](https://58b42f6c8c9bf.streamlock.net:8080/live/RTS2015/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/Bhv7lvy.png""/> TVTV.at",False,False,
austria,11,http://lb.hd-livestream.de:1935/live/TirolTV/playlist.m3u8,hls,"[>](http://lb.hd-livestream.de:1935/live/TirolTV/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/1E7Nflo.jpg""/> TirolTV.at",False,False,
austria,12,https://ms01.w24.at/R9/smil:liveeventR9.smil/playlist.m3u8,hls,"[>](https://ms01.w24.at/R9/smil:liveeventR9.smil/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/2fxVYsL.jpg""/> R9.at",False,True,
belgium,1,https://rtltvi-lh.akamaihd.net/i/TVI_1@319659/master.m3u8,hls,"[>](https://rtltvi-lh.akamaihd.net/i/TVI_1@319659/master.m3u8) <img height=""20"" src=""https://i.imgur.com/xMhSvax.png""/> BelRTL.be",False,False,
belgium,2,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/29797c9f3f4fa00.m3u8,hls,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/29797c9f3f4fa00.m3u8) <img height=""20"" src=""https://i.imgur.com/hJodwJt.png""/> LaUne.be",False,False,
belgium,3,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/5dee2de1f4661ce.m3u8,hls,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/5dee2de1f4661ce.m3u8) <img height=""20"" src=""https://i.imgur.com/PVbVj8o.png""/> Tipik.be",False,False,
belgium,4,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/9ef55f75bc15308.ts,other,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/9ef55f75bc15308.ts) <img height=""20"" src=""https://i.imgur.com/e9GkFwY.png""/> ClubRTL.be",False,False,
belgium,6,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/6f940c7da9a562e.ts,other,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/6f940c7da9a562e.ts) <img height=""20"" src=""https://i.imgur.com/kC3pJtA.png""/> LaTrois.be",False,False,
belgium,9,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/de5c6896d356f8e.ts,other,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/de5c6896d356f8e.ts) <img height=""20"" src=""https://i.imgur.com/iAZZWkZ.png""/> PlugRTL.be",False,False,
belgium,12,https://live.cdn.ln24.be/out/v1/b191621c8b9a436cad37bb36a82d2e1c/index.m3u8,hls,"[>](https://live.cdn.ln24.be/out/v1/b191621c8b9a436cad37bb36a82d2e1c/index.m3u8) <img height=""20"" src=""https://i.imgur.com/hePpxnn.png""/> LN24.be",False,False,
belgium,13,https://59959724487e3.streamlock.net/stream/live/playlist.m3u8,hls,"[>](https://59959724487e3.streamlock.net/stream/live/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/YjKqWru.png""/> BX1.be",False,True,
belgium,1,https://live-vrt.rabah.net/groupc/live/8edf3bdf-7db3-41c3-a318-72cb7f82de66/live_aes.isml/playlist.m3u8,hls,"[>](https://live-vrt.rabah.net/groupc/live/8edf3bdf-7db3-41c3-a318-72cb7f82de66/live_aes.isml/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/66GQlc7.png""/> Een.be",False,False,
belgium,2,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/09916e3a88db175.ts,other,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/09916e3a88db175.ts) <img height=""20"" src=""https://i.imgur.com/GQkhACx.png""/> Canvas.be",False,False,
belgium,3,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/c5cafdbfc4d28d3.ts,other,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/c5cafdbfc4d28d3.ts) <img height=""20"" src=""https://i.imgur.com/fUxRP9x.png""/> VTM.be",False,False,
belgium,5,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/3f1f349cb9cf765.ts,other,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/3f1f349cb9cf765.ts) <img height=""20"" src=""https://i.imgur.com/bFTXP2e.png""/>",False,False,
belgium,6,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/7f59a4dfcc56366.ts,other,"[>](http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/7f59a4dfcc56366.ts) <img height=""20"" src=""https://i.imgur.com/DTJLkiP.png""/>",False,False,
brazil,1,https://br5093.streamingdevideo.com.br/abc/abc/playlist.m3u8,hls,"[>](https://br5093.streamingdevideo.com.br/abc/abc/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/c8ztQnF.png""/> COMBrasil.br",False,True,
brazil,2,https://www.youtube.com/watch?v=ABVQXgr2LW4,youtube,"[>](https://www.youtube.com/watch?v=ABVQXgr2LW4) <img height=""20"" src=""https://logodownload.org/wp-content/uploads/2013/12/sbt-logo.png""/> SBTNacional.br",False,False,
brazil,3,http://45.162.230.234:1935/agrobrasiltv/agrobrasiltv/playlist.m3u8,hls,"[x](http://45.162.230.234:1935/agrobrasiltv/agrobrasiltv/playlist.m3u8) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/pt/6/60/Logo_AgroBrasilTV.jpg""/> AgroBrasilTV.br",False,False,
brazil,4,https://tv.unisc.br/hls/test.m3u8,hls,"[x](https://tv.unisc.br/hls/test.m3u8) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/commons/c/ce/Canal_Futura_2022.svg""/> CanalFutura.br",False,False,
brazil,5,https://www.youtube.com/watch?v=oUdd3CsxYaE,youtube,"[>](https://www.youtube.com/watch?v=oUdd3CsxYaE) <img height=""20"" src=""https://portal.rbc1.com.br/public/portal/img/layout/logorbc.png""/> RBC.br",False,False,
brazil,6,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8,hls,"[x](https://stmv1.srvif.com/animetv/animetv/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/fuuv2uP.jpg""/> AnimeTV.br",False,False,
brazil,7,https://stream.ads.ottera.tv/playlist.m3u8?network_id=2116,hls,"[>](https://stream.ads.ottera.tv/playlist.m3u8?network_id=2116) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/commons/4/46/Record_News_logo_2023.svg""/> RecordNews.br",False,False,
brazil,8,https://video08.logicahost.com.br/istvnacional/srt.stream/istvnacional.m3u8,hls,"[>](https://video08.logicahost.com.br/istvnacional/srt.stream/istvnacional.m3u8) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/pt/b/b5/Logotipo_da_ISTV.png""/> ISTVHD.br",False,True,
brazil,9,https://video09.logicahost.com.br/redebrasiloficial/redebrasiloficial/playlist.m3u8,hls,"[>](https://video09.logicahost.com.br/redebrasiloficial/redebrasiloficial/playlist.m3u8) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/commons/d/d1/Marca_rede_brasil_rgb-color.png""/> RedeBrasil.br",False,True,
brazil,10,https://stream3.camara.gov.br/tv1/manifest.m3u8,hls,"[>](https://stream3.camara.gov.br/tv1/manifest.m3u8) <img height=""20"" src=""https://i.imgur.com/UpV2PRk.png""/> TVCamara.br",False,True,
